Id_1,sid_11,sid_12,sid_13,sid_14,sid_15,
0.884218,0.0892438,0.0527807,0.0472244,0.0441199,0.040084,0.0378796
Id_2,sid_21,sid_22,sid_23,sid_24,sid_25,
0.940707,0.0603287,0.0482449,0.041728,0.041728,0.0254768,0.023034
Id_3,sid_31,sid_32,sid_33,sid_34,sid_35,
0.914405,0.57451,0.0600491,0.0582549,0.0576022,0.0546627,0.0531887
Id_4,sid_41,sid_42,sid_43,sid_44,sid_45,
0.875022,0.54908,0.474517,0.405771,0.315052,0.305144,0.196331
Id_5,sid_51,sid_52,sid_53,sid_54,sid_55,
0.881455,0.499498,0.465397,0.37516,0.323093,0.30821,0.233312
Id_6,sid_61,sid_62,sid_63,sid_64,sid_65,
0.886303,0.614187,0.422897,0.398173,0.354149,0.296395,0.261492
Id_7,sid_71,sid_72,sid_73,sid_74,sid_75,
0.913419,0.126751,0.093266,0.0759493,0.0708866,0.067682,0.065849
Id_8,sid_81,sid_82,sid_83,sid_84,sid_85,
0.864104,0.387177,0.387177,0.0753578,0.0548706,0.0532211,0.0505567
Id_9,sid_91,sid_92,sid_93,sid_94,sid_95,
0.91892,0.292762,0.182674,0.151903,0.130235,0.129743,0.107945
Id_10,sid_101,sid_102,sid_103,sid_104,sid_105,
0.908609,0.402665,0.400686,0.318432,0.281568,0.234379,0.170331
Id_11,sid_111,sid_112,sid_113,sid_114,sid_115,
0.901116,0.554686,0.0834505,0.0671728,0.06434,0.06434,0.0618843
Id_12,sid_121,sid_122,sid_123,sid_124,sid_125,
0.933521,0.146253,0.0864832,0.0850559,0.0597538,0.0548919,0.0529053
Id_13,sid_131,sid_132,sid_133,sid_134,sid_135,
0.828856,0.124868,0.101986,0.090759,0.085552,0.0747352,0.0733534
Id_14,sid_141,sid_142,sid_143,sid_144,sid_145,
0.906783,0.090391,0.0863813,0.0810868,0.0810868,0.0792409,0.0768519
Id_15,sid_151,sid_152,sid_153,sid_154,sid_155,
0.929025,0.0718898,0.0569755,0.054418,0.0540224,0.0534664,0.0501383
Id_16,sid_161,sid_162,sid_163,sid_164,sid_165,
0.895059,0.0920477,0.0870698,0.0847439,0.0814392,0.0738786,0.0665199
Id_17,sid_171,sid_172,sid_173,sid_174,sid_175,
0.924341,0.0664804,0.0636245,0.0537088,0.0532674,0.0499848,0.0496702
Id_18,sid_181,sid_182,sid_183,sid_184,sid_185,
0.881817,0.401534,0.22992,0.210551,0.20782,0.156322,0.150984
Id_19,sid_191,sid_192,sid_193,sid_194,sid_195,
0.89444,0.89444,0.0543715,0.0521742,0.049746,0.0497256,0.0494647
Id_20,sid_201,sid_202,sid_203,sid_204,sid_205,
0.895132,0.895132,0.340434,0.0640946,0.0609905,0.0580887,0.0551475
Id_21,sid_211,sid_212,sid_213,sid_214,sid_215,
0.89444,0.89444,0.0543715,0.0521742,0.049746,0.0497256,0.0494647
Id_22,sid_221,sid_222,sid_223,sid_224,sid_225,
0.895132,0.895132,0.340434,0.0640946,0.0609905,0.0580887,0.0551475
Id_23,sid_231,sid_232,sid_233,sid_234,sid_235,
0.871258,0.107683,0.0935002,0.0715657,0.0705401,0.0614484,0.0606711
Id_24,sid_241,sid_242,sid_243,sid_244,sid_245,
0.926887,0.0794261,0.0642257,0.0642257,0.0556069,0.0489403,0.0486104
Id_25,sid_251,sid_252,sid_253,sid_254,sid_255,
0.87973,0.39066,0.372232,0.339236,0.336024,0.235934,0.159004
Id_26,sid_261,sid_262,sid_263,sid_264,sid_265,
0.926427,0.0791028,0.0606426,0.0606426,0.0604159,0.0563006,0.0506453
Id_27,sid_271,sid_272,sid_273,sid_274,sid_275,
0.886257,0.536272,0.402292,0.344427,0.328588,0.250203,0.199726
Id_28,sid_281,sid_282,sid_283,sid_284,sid_285,
0.867359,0.112409,0.111557,0.0769949,0.0751564,0.0711438,0.0575631
Id_29,sid_291,sid_292,sid_293,sid_294,sid_295,
0.927348,0.0836889,0.0817956,0.0693217,0.0593179,0.0576165,0.0576057
Id_30,sid_301,sid_302,sid_303,sid_304,sid_305,
0.904956,0.277077,0.107739,0.0829009,0.0709949,0.0550661,0.040765
Id_31,sid_311,sid_312,sid_313,sid_314,sid_315,
0.895315,0.0789262,0.0763468,0.0763468,0.0648182,0.0610205,0.0608374
Id_32,sid_321,sid_322,sid_323,sid_324,sid_325,
0.916901,0.0795907,0.0733675,0.0700304,0.0642347,0.0602065,0.053773
Id_33,sid_331,sid_332,sid_333,sid_334,sid_335,
0.910963,0.0561389,0.0526041,0.0505247,0.0487066,0.0466358,0.0428815
Id_34,sid_341,sid_342,sid_343,sid_344,sid_345,
0.899378,0.0870863,0.0765001,0.0617364,0.0610036,0.0600793,0.0590156
Id_35,sid_351,sid_352,sid_353,sid_354,sid_355,
0.921606,0.399975,0.123879,0.0802886,0.0771065,0.0751485,0.0722264
Id_36,sid_361,sid_362,sid_363,sid_364,sid_365,
0.896729,0.0945477,0.0799545,0.0770894,0.0644152,0.0615056,0.0588248
Id_37,sid_371,sid_372,sid_373,sid_374,sid_375,
0.899487,0.28805,0.233538,0.226087,0.217759,0.165023,0.134575
Id_38,sid_381,sid_382,sid_383,sid_384,sid_385,
0.927826,0.107687,0.0651668,0.0576108,0.0560616,0.0546126,0.0530416
Id_39,sid_391,sid_392,sid_393,sid_394,sid_395,
0.864547,0.372894,0.123058,0.112304,0.0957108,0.0898612,0.0803857
Id_40,sid_401,sid_402,sid_403,sid_404,sid_405,
0.90701,0.407813,0.250977,0.245284,0.215936,0.154993,0.15459
